x,y
-0.0513816,1.01128
-0.0575825,1.01104
-0.0637812,1.01076
-0.0699775,1.01045
-0.0761712,1.01009
-0.082362,1.0097
-0.0885498,1.00927
-0.0947342,1.0088
-0.100915,1.0083
-0.107092,1.00775
-0.113265,1.00717
-0.119434,1.00655
-0.125599,1.0059
-0.131758,1.0052
-0.137913,1.00447
-0.144063,1.0037
-0.150207,1.0029
-0.156346,1.00205
-0.162479,1.00117
-0.168605,1.00025
-0.174726,0.999297
-0.18084,0.998304
-0.186947,0.997274
-0.193047,0.996207
-0.199141,0.995102
-0.205226,0.993961
-0.211304,0.992782
-0.217374,0.991567
-0.223437,0.990315
-0.22949,0.989026
-0.235536,0.9877
-0.241572,0.986337
-0.2476,0.984938
-0.253618,0.983502
-0.259627,0.98203
-0.265626,0.980521
-0.271616,0.978976
-0.277595,0.977394
-0.283564,0.975777
-0.289522,0.974123
-0.29547,0.972433
-0.301407,0.970707
-0.307333,0.968944
-0.313247,0.967146
-0.31915,0.965313
-0.325041,0.963443
-0.330919,0.961538
-0.336786,0.959597
-0.34264,0.957621
-0.348482,0.955609
-0.35431,0.953562
-0.360126,0.95148
-0.365928,0.949362
-0.371716,0.94721
-0.377491,0.945022
-0.383252,0.9428
-0.388999,0.940543
-0.394732,0.938251
-0.400449,0.935924
-0.406153,0.933563
-0.411841,0.931168
-0.417514,0.928738
-0.423171,0.926274
-0.428813,0.923776
-0.434439,0.921244
-0.44005,0.918677
-0.445644,0.916077
-0.451221,0.913444
-0.456782,0.910776
-0.462326,0.908076
-0.467854,0.905341
-0.473364,0.902574
-0.478856,0.899773
-0.484331,0.89694
-0.489788,0.894073
-0.495227,0.891173
-0.500648,0.888241
-0.506051,0.885276
-0.511435,0.882279
-0.5168,0.879249
-0.522147,0.876187
-0.527474,0.873093
-0.532782,0.869967
-0.53807,0.866809
-0.543339,0.863619
-0.548587,0.860398
-0.553816,0.857145
-0.559024,0.85386
-0.564212,0.850545
-0.569379,0.847198
-0.574526,0.84382
-0.579651,0.840412
-0.584755,0.836973
-0.589838,0.833503
-0.594899,0.830002
-0.599939,0.826472
-0.604956,0.822911
-0.609952,0.81932
-0.614925,0.815699
-0.619875,0.812048
-0.624804,0.808368
-0.629709,0.804658
-0.634591,0.800919
-0.63945,0.79715
-0.644286,0.793353
-0.649098,0.789527
-0.653887,0.785671
-0.658652,0.781788
-0.663393,0.777875
-0.66811,0.773935
-0.672802,0.769966
-0.67747,0.765969
-0.682113,0.761944
-0.686732,0.757892
-0.691325,0.753812
-0.695893,0.749705
-0.700436,0.74557
-0.704954,0.741408
-0.709446,0.737219
-0.713912,0.733004
-0.718352,0.728762
-0.722766,0.724493
-0.727154,0.720198
-0.731515,0.715877
-0.73585,0.71153
-0.740158,0.707157
-0.74444,0.702759
-0.748694,0.698335
-0.752921,0.693885
-0.757121,0.689411
-0.761294,0.684911
-0.765438,0.680387
-0.769556,0.675838
-0.773645,0.671265
-0.777706,0.666667
-0.781739,0.662045
-0.785744,0.657399
-0.78972,0.652729
-0.793668,0.648036
-0.797587,0.643319
-0.801477,0.638579
-0.805338,0.633816
-0.80917,0.62903
-0.812973,0.624221
-0.816746,0.61939
-0.82049,0.614536
-0.824204,0.60966
-0.827889,0.604762
-0.831544,0.599843
-0.835168,0.594901
-0.838762,0.589938
-0.842327,0.584954
-0.84586,0.579949
-0.849364,0.574922
-0.852836,0.569875
-0.856278,0.564808
-0.859689,0.55972
-0.863069,0.554612
-0.866418,0.549484
-0.869735,0.544336
-0.873021,0.539168
-0.876276,0.533981
-0.879499,0.528775
-0.882691,0.52355
-0.885851,0.518306
-0.888979,0.513043
-0.892074,0.507762
-0.895138,0.502463
-0.89817,0.497145
-0.901169,0.49181
-0.904136,0.486457
-0.90707,0.481086
-0.909972,0.475698
-0.912841,0.470293
-0.915677,0.464871
-0.91848,0.459432
-0.921251,0.453977
-0.923988,0.448506
-0.926692,0.443018
-0.929362,0.437515
-0.932,0.431996
-0.934603,0.426461
-0.937174,0.420911
-0.93971,0.415346
-0.942213,0.409766
-0.944682,0.404171
-0.947118,0.398562
-0.949519,0.392938
-0.951886,0.387301
-0.954219,0.381649
-0.956518,0.375984
-0.958782,0.370305
-0.961012,0.364613
-0.963208,0.358908
-0.965369,0.35319
-0.967496,0.34746
-0.969588,0.341717
-0.971645,0.335961
-0.973667,0.330194
-0.975655,0.324415
-0.977607,0.318624
-0.979525,0.312822
-0.981407,0.307009
-0.983255,0.301185
-0.985067,0.295349
-0.986844,0.289504
-0.988585,0.283648
-0.990291,0.277782
-0.991962,0.271905
-0.993598,0.26602
-0.995197,0.260124
-0.996761,0.25422
-0.99829,0.248306
-0.999783,0.242383
-1.00124,0.236452
-1.00266,0.230512
-1.00405,0.224564
-1.0054,0.218608
-1.00671,0.212644
-1.00799,0.206673
-1.00923,0.200694
-1.01043,0.194708
-1.0116,0.188715
-1.01274,0.182715
-1.01383,0.176709
-1.0149,0.170697
-1.01592,0.164678
-1.01691,0.158653
-1.01786,0.152623
-1.01878,0.146588
-1.01966,0.140547
-1.0205,0.134501
-1.02131,0.12845
-1.02208,0.122395
-1.02281,0.116335
-1.02351,0.110272
-1.02417,0.104204
-1.02479,0.0981326
-1.02538,0.0920577
-1.02593,0.0859795
-1.02644,0.0798982
-1.02692,0.0738141
-1.02736,0.0677273
-1.02777,0.0616382
-1.02814,0.0555468
-1.02847,0.0494534
-1.02876,0.0433583
-1.02902,0.0372617
-1.02924,0.0311637
-1.02942,0.0250646
-1.02957,0.0189646
-1.02968,0.0128639
-1.02976,0.00676281
-1.0298,0.000661439
-1.0298,-0.00543995
-1.02976,-0.0115411
-1.02969,-0.0176419
-1.02958,-0.0237421
-1.02943,-0.0298414
-1.02925,-0.0359396
-1.02903,-0.0420366
-1.02878,-0.0481321
-1.02848,-0.0542258
-1.02815,-0.0603177
-1.02779,-0.0664073
-1.02739,-0.0724946
-1.02695,-0.0785794
-1.02647,-0.0846613
-1.02596,-0.0907402
-1.02541,-0.0968159
-1.02482,-0.102888
-1.0242,-0.108957
-1.02354,-0.115021
-1.02285,-0.121082
-1.02212,-0.127138
-1.02135,-0.13319
-1.02055,-0.139237
-1.01971,-0.145279
-1.01883,-0.151316
-1.01792,-0.157347
-1.01697,-0.163373
-1.01598,-0.169393
-1.01496,-0.175407
-1.0139,-0.181415
-1.01281,-0.187416
-1.01168,-0.193411
-1.01051,-0.199399
-1.00931,-0.205379
