x_sol,y_sol,x_mer,y_mer,x_ven,y_ven,x_ter,y_ter,x_mar,y_mar
1.33686e-06,4.26151e-07,-0.246765,0.372473,0.429641,0.591948,0.836654,0.552196,1.45156,0.465815
1.36318e-06,4.39065e-07,-0.254356,0.36809,0.423807,0.596344,0.833228,0.557445,1.45,0.47066
1.38969e-06,4.52213e-07,-0.261842,0.363557,0.41793,0.600682,0.82977,0.562672,1.44843,0.4755
1.41639e-06,4.65597e-07,-0.269221,0.358875,0.412013,0.60496,0.82628,0.567877,1.44685,0.480335
1.44326e-06,4.79218e-07,-0.276491,0.354048,0.406056,0.60918,0.822758,0.573061,1.44525,0.485164
1.47032e-06,4.93077e-07,-0.283649,0.349077,0.400058,0.61334,0.819204,0.578222,1.44363,0.489988
1.49755e-06,5.07174e-07,-0.290693,0.343965,0.394022,0.61744,0.815618,0.583361,1.442,0.494807
1.52496e-06,5.21512e-07,-0.297619,0.338714,0.387947,0.621479,0.812001,0.588478,1.44035,0.49962
1.55254e-06,5.3609e-07,-0.304427,0.333328,0.381834,0.625458,0.808353,0.593572,1.43868,0.504428
1.58029e-06,5.5091e-07,-0.311112,0.327809,0.375684,0.629376,0.804674,0.598643,1.437,0.50923
1.6082e-06,5.65974e-07,-0.317674,0.32216,0.369498,0.633232,0.800963,0.603691,1.4353,0.514026
1.63628e-06,5.81281e-07,-0.32411,0.316382,0.363275,0.637027,0.797222,0.608716,1.43359,0.518817
1.66453e-06,5.96833e-07,-0.330417,0.31048,0.357017,0.640759,0.79345,0.613717,1.43186,0.523602
1.69293e-06,6.12631e-07,-0.336595,0.304455,0.350724,0.64443,0.789647,0.618694,1.43012,0.528381
1.72149e-06,6.28676e-07,-0.34264,0.29831,0.344398,0.648037,0.785814,0.623648,1.42836,0.533154
1.75021e-06,6.44968e-07,-0.34855,0.292048,0.338037,0.651582,0.781951,0.628578,1.42658,0.537922
1.77908e-06,6.61508e-07,-0.354324,0.285672,0.331644,0.655063,0.778057,0.633483,1.42479,0.542683
1.8081e-06,6.78298e-07,-0.35996,0.279184,0.325219,0.658481,0.774134,0.638364,1.42298,0.547439
1.83727e-06,6.95338e-07,-0.365456,0.272588,0.318762,0.661835,0.77018,0.643221,1.42116,0.552188
1.86659e-06,7.12629e-07,-0.37081,0.265886,0.312274,0.665125,0.766198,0.648053,1.41932,0.556931
1.89605e-06,7.30171e-07,-0.37602,0.259081,0.305756,0.668351,0.762185,0.65286,1.41746,0.561668
1.92565e-06,7.47965e-07,-0.381085,0.252176,0.299209,0.671512,0.758143,0.657641,1.41559,0.566399
1.95539e-06,7.66013e-07,-0.386003,0.245174,0.292632,0.674608,0.754072,0.662398,1.4137,0.571124
1.98526e-06,7.84314e-07,-0.390773,0.238077,0.286027,0.677638,0.749973,0.667128,1.4118,0.575842
2.01528e-06,8.02869e-07,-0.395392,0.230889,0.279395,0.680604,0.745844,0.671834,1.40988,0.580554
2.04542e-06,8.2168e-07,-0.39986,0.223612,0.272736,0.683503,0.741686,0.676513,1.40795,0.58526
2.07569e-06,8.40746e-07,-0.404174,0.21625,0.26605,0.686337,0.7375,0.681167,1.406,0.589959
2.10609e-06,8.60068e-07,-0.408334,0.208805,0.259339,0.689105,0.733286,0.685794,1.40404,0.594651
2.13661e-06,8.79647e-07,-0.412339,0.20128,0.252603,0.691806,0.729044,0.690395,1.40206,0.599337
2.16726e-06,8.99483e-07,-0.416186,0.193679,0.245842,0.694441,0.724773,0.694969,1.40006,0.604017
2.19803e-06,9.19577e-07,-0.419874,0.186004,0.239058,0.69701,0.720475,0.699517,1.39805,0.608689
2.22891e-06,9.3993e-07,-0.423403,0.178258,0.232251,0.699511,0.716149,0.704037,1.39602,0.613355
2.25991e-06,9.60541e-07,-0.426771,0.170444,0.225422,0.701945,0.711795,0.708531,1.39398,0.618014
2.29103e-06,9.81412e-07,-0.429977,0.162566,0.218571,0.704312,0.707414,0.712997,1.39193,0.622666
2.32225e-06,1.00254e-06,-0.433021,0.154626,0.211699,0.706611,0.703006,0.717437,1.38985,0.627312
2.35358e-06,1.02393e-06,-0.4359,0.146628,0.204807,0.708843,0.698571,0.721848,1.38776,0.63195
2.38502e-06,1.04558e-06,-0.438613,0.138574,0.197895,0.711007,0.694109,0.726232,1.38566,0.636582
2.41656e-06,1.0675e-06,-0.441161,0.130467,0.190965,0.713103,0.689621,0.730588,1.38354,0.641206
2.44821e-06,1.08967e-06,-0.443542,0.122311,0.184016,0.715131,0.685106,0.734916,1.38141,0.645823
2.47995e-06,1.1121e-06,-0.445756,0.114109,0.17705,0.717091,0.680565,0.739216,1.37926,0.650434
2.51179e-06,1.1348e-06,-0.4478,0.105864,0.170066,0.718982,0.675998,0.743487,1.37709,0.655036
2.54372e-06,1.15776e-06,-0.449676,0.0975787,0.163067,0.720805,0.671404,0.74773,1.37491,0.659632
2.57574e-06,1.18098e-06,-0.451381,0.0892565,0.156052,0.722559,0.666785,0.751945,1.37272,0.664221
