x_soleil,y_soleil,x_terre,y_terre
1.75036e-06,0.00019167,0.216546,-0.788571
1.5403e-06,0.000191813,0.286566,-0.759325
1.33644e-06,0.00019194,0.354519,-0.724599
1.1404e-06,0.000192051,0.419867,-0.684549
9.53732e-07,0.000192146,0.482089,-0.639401
7.77922e-07,0.000192227,0.540693,-0.589452
6.14331e-07,0.000192295,0.595223,-0.535061
4.64168e-07,0.00019235,0.645277,-0.476645
3.28463e-07,0.000192395,0.690512,-0.414667
2.08048e-07,0.000192431,0.730651,-0.349628
1.03546e-07,0.000192459,0.765485,-0.282049
1.53691e-08,0.000192481,0.794877,-0.212463
-5.62768e-08,0.000192499,0.818759,-0.141403
-1.1138e-07,0.000192514,0.837127,-0.0693899
-1.50106e-07,0.000192527,0.850035,0.00307728
-1.72776e-07,0.000192541,0.857592,0.0755263
-1.79843e-07,0.000192556,0.859948,0.147518
-1.71873e-07,0.000192573,0.857291,0.218652
-1.49515e-07,0.000192594,0.849838,0.288563
-1.13488e-07,0.00019262,0.837829,0.356928
-6.4553e-08,0.000192651,0.821518,0.423461
-3.50429e-09,0.000192689,0.801168,0.487914
6.88504e-08,0.000192733,0.77705,0.550073
1.517e-07,0.000192785,0.749433,0.609756
2.44238e-07,0.000192845,0.718587,0.666812
3.45675e-07,0.000192912,0.684775,0.721116
4.55238e-07,0.000192989,0.648254,0.772569
5.72181e-07,0.000193074,0.609273,0.821091
6.95781e-07,0.000193169,0.568073,0.866622
8.25348e-07,0.000193272,0.524884,0.909121
9.60219e-07,0.000193384,0.479927,0.948558
1.09976e-06,0.000193506,0.433413,0.984918
1.24337e-06,0.000193637,0.385543,1.0182
1.39048e-06,0.000193778,0.336507,1.0484
1.54054e-06,0.000193927,0.286488,1.07554
1.69303e-06,0.000194086,0.235658,1.09963
1.84746e-06,0.000194253,0.184182,1.12071
2.00336e-06,0.00019443,0.132214,1.1388
2.16029e-06,0.000194615,0.0799041,1.15394
2.31782e-06,0.000194809,0.0273923,1.16617
2.47556e-06,0.000195012,-0.0251869,1.17553
2.63312e-06,0.000195223,-0.0777055,1.18206
2.79012e-06,0.000195443,-0.130041,1.18582
2.94623e-06,0.000195671,-0.182078,1.18684
3.10111e-06,0.000195907,-0.233703,1.18519
3.25443e-06,0.00019615,-0.28481,1.1809
3.40589e-06,0.000196402,-0.335296,1.17405
3.55519e-06,0.000196661,-0.385062,1.16467
3.70203e-06,0.000196927,-0.434012,1.15282
3.84616e-06,0.000197201,-0.482053,1.13856
3.98729e-06,0.000197481,-0.529097,1.12195
4.12517e-06,0.000197769,-0.575057,1.10304
4.25955e-06,0.000198063,-0.619849,1.08189
4.39017e-06,0.000198364,-0.663389,1.05855
4.5168e-06,0.000198671,-0.705599,1.03309
4.6392e-06,0.000198985,-0.746398,1.00557
4.75713e-06,0.000199304,-0.785712,0.976042
4.87039e-06,0.00019963,-0.823462,0.944576
